banner_id,brand,brand_slug,type,position,device,order,enabled,original_filename,github_upload_path,image_url,target_url_can_sua,drive_source_folder,drive_file_url
iwin_horizontal_14_bottom,IWIN,iwin,horizontal,bottom_fixed,all,14,False,IWIN_CPD_WC26_728x90.gif,assets/library/iwin/horizontal/IWIN_CPD_WC26_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/iwin/horizontal/IWIN_CPD_WC26_728x90.gif,https://link-cua-anh.com/iwin/horizontal/14,1. CAT FISH,https://drive.google.com/file/d/1Dj93FbOFp71C3g9M-qD_THLKqj2JuaEa/view?usp=drivesdk
vj_horizontal_15_bottom,VJ,vj,horizontal,bottom_fixed,all,15,False,VJ_CPD_WC2026_728x90.gif,assets/library/vj/horizontal/VJ_CPD_WC2026_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/vj/horizontal/VJ_CPD_WC2026_728x90.gif,https://link-cua-anh.com/vj/horizontal/15,1. CAT FISH,https://drive.google.com/file/d/1FZue1PV9xfa4aY2uroPETMqKZPi1GC2i/view?usp=drivesdk
db_horizontal_16_bottom,DB,db,horizontal,bottom_fixed,all,16,False,DB_CPD_wc26_728x90.gif,assets/library/db/horizontal/DB_CPD_wc26_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/db/horizontal/DB_CPD_wc26_728x90.gif,https://link-cua-anh.com/db/horizontal/16,1. CAT FISH,https://drive.google.com/file/d/1EKpz-GESdPm0R5rO99a4vOhV647jv86T/view?usp=drivesdk
ta88_horizontal_17_bottom,TA88,ta88,horizontal,bottom_fixed,all,17,False,TA88_CPD_WC_728x90.gif,assets/library/ta88/horizontal/TA88_CPD_WC_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/ta88/horizontal/TA88_CPD_WC_728x90.gif,https://link-cua-anh.com/ta88/horizontal/17,1. CAT FISH,https://drive.google.com/file/d/1ll8o-RLkEQmsB4Umv9ud0tDn8UtpuPek/view?usp=drivesdk
lk88_horizontal_18_bottom,LK88,lk88,horizontal,bottom_fixed,all,18,False,LK88_CPD_WC26_728x90.gif,assets/library/lk88/horizontal/LK88_CPD_WC26_728x90.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/lk88/horizontal/LK88_CPD_WC26_728x90.gif,https://link-cua-anh.com/lk88/horizontal/18,1. CAT FISH,https://drive.google.com/file/d/1iIV6jghXi1INVZoCpAmJiEmJB5wiZTBL/view?usp=drivesdk
11bet_square_01_grid,11BET,11bet,square,content_grid,all,1,False,CPD_11BET_WC_500x500.gif,assets/library/11bet/square/CPD_11BET_WC_500x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/11bet/square/CPD_11BET_WC_500x500.gif,https://link-cua-anh.com/11bet/square/01,2. VUÔNG,https://drive.google.com/file/d/1rjIsyemerlGjRVuol8NWxdoUoIAtkXZl/view?usp=drivesdk
388bet_square_02_grid,388BET,388bet,square,content_grid,all,2,False,388BET_CPD-WC_600x500.gif,assets/library/388bet/square/388BET_CPD-WC_600x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/388bet/square/388BET_CPD-WC_600x500.gif,https://link-cua-anh.com/388bet/square/02,2. VUÔNG,https://drive.google.com/file/d/1ADfTuExiHc2FHMDFvy8EYuIEPzWx_dlh/view?usp=drivesdk
nbet_square_03_grid,NBET,nbet,square,content_grid,all,3,False,NBET_CPD_WC26_600x500.gif,assets/library/nbet/square/NBET_CPD_WC26_600x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/nbet/square/NBET_CPD_WC26_600x500.gif,https://link-cua-anh.com/nbet/square/03,2. VUÔNG,https://drive.google.com/file/d/1Yf0mwEu5Wl1G6jKtoKC2wwrK-Y6IR0sr/view?usp=drivesdk
db_square_04_grid,DB,db,square,content_grid,all,4,False,DB_CPD_wc26_500x500.gif,assets/library/db/square/DB_CPD_wc26_500x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/db/square/DB_CPD_wc26_500x500.gif,https://link-cua-anh.com/db/square/04,2. VUÔNG,https://drive.google.com/file/d/1M-HK7xhKZjahLiOLRL72AM2ttyr3RRCC/view?usp=drivesdk
lk88_square_05_mobile,LK88,lk88,square,mobile_grid,mobile,5,True,LK88_CPD_WC26_600x500.gif,assets/library/lk88/square/LK88_CPD_WC26_600x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/lk88/square/LK88_CPD_WC26_600x500.gif,https://link-cua-anh.com/lk88/square/05,2. VUÔNG,https://drive.google.com/file/d/1yWgmhn2C5RDM9qRYmNAa0yBDdcyUCSRH/view?usp=drivesdk
